"type","longitude","latitude"
"Hospital",-9.0999379,38.7574561
"Hospital",-9.0988002,38.7586954
"Hospital",-9.0996173,38.757324
"Hospital",-9.0987184,38.7586629
"Hospital",-9.0986696,38.7586432
"Hospital",-9.0986599,38.7586006
"Hospital",-9.099401,38.7587517
"Hospital",-9.0998048,38.7587821
"Hospital",-9.1578771,38.7344437
"Hospital",-9.1574946,38.7343141
"Hospital",-9.143761,38.7234204
"Hospital",-9.2214278,38.6932574
"Hospital",-9.1507503,38.740921
"Hospital",-9.1586329,38.7341442
"Hospital",-9.1586324,38.7342147
"Hospital",-9.1886983,38.6999033
"Hospital",-9.1889038,38.6998583
"Hospital",-9.1458704,38.7135212
"Hospital",-9.1457989,38.7135417
"Hospital",-9.2222077,38.6928549
"Hospital",-9.2214983,38.6931937
"Hospital",-9.1724482,38.7036909
"Hospital",-9.1741005,38.7040932
"Hospital",-9.1723794,38.703344
"Hospital",-9.1722601,38.7036462
"Hospital",-9.1927093,38.7556655
"Hospital",-9.1915149,38.7550684
"Hospital",-9.1600398,38.7499265
"Hospital",-9.1611505,38.7499331
"Hospital",-9.1609686,38.7499378
"Hospital",-9.1370727,38.7167772
"Hospital",-9.1370016,38.7167569
"Hospital",-9.1369197,38.7167642
"Hospital",-9.1368553,38.7167999
"Hospital",-9.1368434,38.7168282
"Hospital",-9.163192,38.7661435
"Hospital",-9.1506192,38.7124611
"Hospital",-9.1886566,38.7003453
"Hospital",-9.1883569,38.7002932
"Hospital",-9.1880262,38.7004257
"Hospital",-9.1879854,38.7003634
"Hospital",-9.187502,38.7003886
"Hospital",-9.1145872,38.7684806
"Hospital",-9.1573618,38.7651913
"Hospital",-9.1577296,38.7662892
"Hospital",-9.1574497,38.7655572
"Hospital",-9.1573846,38.7652735
"Hospital",-9.1913205,38.7562806
"Hospital",-9.1599975,38.749976
"Hospital",-9.1611966,38.749989
"Hospital",-9.1610789,38.7499382
"Hospital",-9.161079,38.7499329
"Hospital",-9.1644925,38.750017
"Hospital",-9.1646063,38.7500034
"Hospital",-9.1647375,38.7499194
"Hospital",-9.1647991,38.7496974
"Hospital",-9.1648045,38.7497403
"Hospital",-9.164763,38.749887
"Hospital",-9.1646451,38.7499878
"Hospital",-9.1641905,38.7500218
"Hospital",-9.1446098,38.7244673
"Hospital",-9.1741602,38.7039436
"Hospital",-9.1766833,38.7687864
"Hospital",-9.1748299,38.7689147
"Hospital",-9.1748312,38.7688375
"Hospital",-9.173757,38.7686107
"Hospital",-9.1736282,38.7676675
"Hospital",-9.1737543,38.7657953
"Hospital",-9.1738643,38.7656886
"Hospital",-9.1740225,38.7655888
"Hospital",-9.1756103,38.7454791
"Hospital",-9.175757,38.7454805
"Hospital",-9.1756337,38.7471417
"Hospital",-9.2314297,38.7271505
"Hospital",-9.2315976,38.727098
"Hospital",-9.2325191,38.7276867
"Hospital",-9.2324606,38.7275455
"Hospital",-9.2328433,38.7269332
"Hospital",-9.231864,38.7276213
"Hospital",-9.1752927,38.745285
"Hospital",-9.1754041,38.7452873
"Hospital",-9.1752892,38.7453855
"Hospital",-9.1754185,38.7453032
"Hospital",-9.1754194,38.7452799
"Hospital",-9.175616,38.7453449
"Hospital",-9.175631,38.7453452
"Hospital",-9.1756282,38.7454276
"Hospital",-9.1756121,38.7454273
"Hospital",-9.1756111,38.7454554
"Hospital",-9.1574392,38.7646827
"Hospital",-9.1583966,38.7645781
"Hospital",-9.1458382,38.7134079
"Hospital",-9.1577369,38.7663067
"Hospital",-9.1619419,38.739315
"Hospital",-9.1621276,38.7393668
"Hospital",-9.162146,38.7393641
"Hospital",-9.1621706,38.7393559
"Hospital",-9.1742581,38.7688512
"Hospital",-9.1763544,38.7460454
"Hospital",-9.1763564,38.7460072
"Hospital",-9.0980613,38.7583649
"Hospital",-9.0985041,38.7577714
"Hospital",-9.0984878,38.7585575
"Hospital",-9.0989322,38.7579648
"Hospital",-9.0982233,38.7584369
"Hospital",-9.0986678,38.7578443
"Hospital",-9.0987533,38.7582009
"Hospital",-9.0987864,38.7581571
"Hospital",-9.1872924,38.7000913
"Hospital",-9.1873772,38.7000532
"Hospital",-9.1875357,38.7002595
"Hospital",-9.1875113,38.7002704
"Hospital",-9.1876033,38.7005197
"Hospital",-9.1888367,38.7002597
"Hospital",-9.189289,38.6996725
"Hospital",-9.1798946,38.7490415
"Hospital",-9.1791439,38.7490791
"Hospital",-9.1788527,38.7490835
"Hospital",-9.1799004,38.7494887
"Hospital",-9.1798635,38.7494885
"Hospital",-9.1739128,38.745986
"Hospital",-9.1751242,38.7467749
"Hospital",-9.1763624,38.7458931
"Hospital",-9.1760502,38.7458831
"Hospital",-9.1754036,38.7453029
"Hospital",-9.1370727,38.7167951
"Hospital",-9.1370727,38.7168009
"Hospital",-9.1729722,38.7031917
"Hospital",-9.1727258,38.7032606
"Hospital",-9.1725735,38.7033005
"Hospital",-9.1741327,38.7040126
"Hospital",-9.1717723,38.7035284
"Hospital",-9.1744539,38.703481
"Hospital",-9.1745767,38.7029307
"Hospital",-9.1744355,38.7035429
"Hospital",-9.1743276,38.7028792
"Hospital",-9.174551,38.7029254
"Hospital",-9.1731046,38.7031518
"Hospital",-9.1732858,38.7030904
"Hospital",-9.1743113,38.7028757
"Hospital",-9.173807,38.7028932
"Hospital",-9.1736457,38.7029591
"Hospital",-9.1734882,38.7030197
"Hospital",-9.144706,38.7221786
"Hospital",-9.1434279,38.7226378
"Hospital",-9.1432762,38.7220698
"Hospital",-9.1398183,38.7296664
"Hospital",-9.1397741,38.7296746
"Hospital",-9.1397314,38.72968
"Hospital",-9.1397004,38.7296823
"Hospital",-9.1396614,38.7296842
"Hospital",-9.1395229,38.7297252
"Hospital",-9.1394764,38.7297369
"Hospital",-9.1394248,38.729748
"Hospital",-9.1941831,38.7566275
"Hospital",-9.1941243,38.7564664
"Hospital",-9.1941773,38.7566599
"Hospital",-9.1941827,38.7566385
"Hospital",-9.1941837,38.75661
"Hospital",-9.1941813,38.7565747
"Hospital",-9.1941693,38.7565261
"Hospital",-9.1941569,38.7564947
"Hospital",-9.1941468,38.7564803
"Hospital",-9.1941096,38.7564572
"Hospital",-9.2169883,38.7083264
"Hospital",-9.2179734,38.7080148
"Hospital",-9.2182308,38.7077834
"Hospital",-9.2175295,38.7082078
"Hospital",-9.1417968,38.7084275
"Hospital",-9.1417396,38.7084274
"Hospital",-9.1416427,38.7088941
